Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2021-12-18,12:21 AM,12:56 AM,xp,35,Data Science & Programming,2021-12,2021,Saturday,Data Science & Programming
2021-12-18,4:11 PM,7:18 PM,xp,188,Data Science & Programming,2021-12,2021,Saturday,Data Science & Programming
2021-12-19,1:00 PM,1:24 PM,读论文,24,Data Science & Programming,2021-12,2021,Sunday,Data Science & Programming
2021-12-19,1:23 PM,6:21 PM,国内数据,298,Thesis,2021-12,2021,Sunday,Research
2021-12-19,7:41 PM,9:00 PM,,79,Data Science & Programming,2021-12,2021,Sunday,Data Science & Programming
2021-12-20,2:21 PM,4:21 PM,诺斯替宗教,120,Read Books,2021-12,2021,Monday,Personal Growth
2021-12-20,5:41 PM,7:21 PM,mkt,100,School Exam Prepare,2021-12,2021,Monday,School
2021-12-21,3:38 AM,5:38 AM,诺斯替宗教,120,Read Books,2021-12,2021,Tuesday,Personal Growth
2021-12-21,6:40 PM,7:25 PM,mkt,46,School Exam Prepare,2021-12,2021,Tuesday,School
2021-12-21,8:12 PM,8:34 PM,mkt,23,School Exam Prepare,2021-12,2021,Tuesday,School
2021-12-21,9:59 PM,10:37 PM,Python 300xp,38,Data Science & Programming,2021-12,2021,Tuesday,Data Science & Programming
2021-12-22,8:54 AM,9:45 AM,,50,Data Science & Programming,2021-12,2021,Wednesday,Data Science & Programming
2021-12-22,10:16 AM,11:16 AM,,60,Homework,2021-12,2021,Wednesday,School
2021-12-22,3:23 PM,4:16 PM,讲座整理,53,Personal Growth,2021-12,2021,Wednesday,Personal Growth
2021-12-22,4:16 PM,6:02 PM,社会调研,106,Homework,2021-12,2021,Wednesday,School
2021-12-22,7:50 PM,9:04 PM,mkt,74,School Exam Prepare,2021-12,2021,Wednesday,School
2021-12-23,8:48 AM,10:02 AM,mkt,61,School Exam Prepare,2021-12,2021,Thursday,School
2021-12-23,10:02 AM,10:17 AM,,15,Thesis,2021-12,2021,Thursday,Research
2021-12-23,10:17 AM,11:09 AM,社会调研,52,Homework,2021-12,2021,Thursday,School
2021-12-23,12:00 PM,1:25 PM,mkt,85,School Exam Prepare,2021-12,2021,Thursday,School
2021-12-23,10:17 PM,11:59 PM,studio,102,Homework,2021-12,2021,Thursday,School
2021-12-24,12:00 AM,1:00 AM,studio,61,Homework,2021-12,2021,Friday,School
2021-12-25,1:19 PM,4:25 PM,基础设施,183,Homework,2021-12,2021,Saturday,School
2021-12-26,10:11 AM,12:13 PM,基础设施,122,Homework,2021-12,2021,Sunday,School
2021-12-26,12:49 PM,2:25 PM,基础设施,96,Homework,2021-12,2021,Sunday,School
2021-12-26,5:20 PM,5:55 PM,,36,Data Science & Programming,2021-12,2021,Sunday,Data Science & Programming
2021-12-26,5:55 PM,6:50 PM,video plan,55,Personal Growth,2021-12,2021,Sunday,Personal Growth
2021-12-27,9:00 AM,9:55 AM,城设,55,Homework,2021-12,2021,Monday,School
2021-12-27,11:00 AM,11:31 AM,Delirious New York,31,Read Books,2021-12,2021,Monday,Personal Growth
2021-12-27,3:51 PM,5:25 PM,城设建模,94,Homework,2021-12,2021,Monday,School
2021-12-27,6:50 PM,8:01 PM,城设建模,71,Homework,2021-12,2021,Monday,School
2021-12-27,9:00 PM,9:37 PM,园林植物,37,Homework,2021-12,2021,Monday,School
2021-12-27,9:52 PM,10:16 PM,视频课,24,Homework,2021-12,2021,Monday,School
2021-12-28,2:38 PM,5:17 PM,城设建模,149,Homework,2021-12,2021,Tuesday,School
2021-12-28,5:17 PM,5:47 PM,应付论文,30,Homework,2021-12,2021,Tuesday,School
2021-12-28,8:13 PM,9:27 PM,应付论文,74,Homework,2021-12,2021,Tuesday,School
2021-12-29,9:27 AM,9:47 AM,,21,Personal Growth,2021-12,2021,Wednesday,Personal Growth
2021-12-29,9:47 AM,10:47 AM,,60,Data Science & Programming,2021-12,2021,Wednesday,Data Science & Programming
2021-12-29,2:24 PM,4:21 PM,园林植物,117,Homework,2021-12,2021,Wednesday,School
2021-12-30,8:42 AM,9:42 AM,500xp,60,Data Science & Programming,2021-12,2021,Thursday,Data Science & Programming
2021-12-30,11:07 AM,11:37 AM,学校资料,30,Personal Growth,2021-12,2021,Thursday,Personal Growth
2021-12-30,11:37 AM,12:08 PM,园林植物,31,Homework,2021-12,2021,Thursday,School
2021-12-30,3:08 PM,4:55 PM,园林植物,108,Homework,2021-12,2021,Thursday,School
2022-01-03,10:58 AM,12:08 PM,Urban Analytics,70,Read Books,2022-01,2022,Monday,Personal Growth
2022-01-03,4:15 PM,7:39 PM,citespace,205,Thesis,2022-01,2022,Monday,Research
2022-01-03,9:00 PM,10:49 PM,Python 340xp,110,Data Science & Programming,2022-01,2022,Monday,Data Science & Programming
2022-01-03,10:49 PM,11:58 PM,citespace,69,Thesis,2022-01,2022,Monday,Research
2022-01-04,8:48 AM,9:13 AM,城设,25,Homework,2022-01,2022,Tuesday,School
2022-01-04,11:06 AM,12:19 PM,Python 650xp,74,Data Science & Programming,2022-01,2022,Tuesday,Data Science & Programming
2022-01-04,3:18 PM,4:28 PM,城设,70,Homework,2022-01,2022,Tuesday,School
2022-01-04,5:10 PM,6:18 PM,城设,68,Homework,2022-01,2022,Tuesday,School
2022-01-04,7:35 PM,8:37 PM,园林植物,62,School Exam Prepare,2022-01,2022,Tuesday,School
2022-01-04,8:37 PM,9:59 PM,城设平面图,82,Homework,2022-01,2022,Tuesday,School
2022-01-05,9:32 AM,10:54 AM,python 470xp,82,Data Science & Programming,2022-01,2022,Wednesday,Data Science & Programming
2022-01-05,10:07 AM,4:37 PM,城设平面图,390,Homework,2022-01,2022,Wednesday,School
2022-01-05,6:07 PM,9:07 PM,城设,180,Homework,2022-01,2022,Wednesday,School
2022-01-05,9:46 PM,11:59 PM,城设不知道在干啥,133,Homework,2022-01,2022,Wednesday,School
2022-01-06,12:00 AM,1:47 AM,城设不知道在干啥,107,Homework,2022-01,2022,Thursday,School
2022-01-06,3:23 PM,5:00 PM,园林植物,96,School Exam Prepare,2022-01,2022,Thursday,School
2022-01-06,8:15 PM,9:20 PM,python 350xp,65,Data Science & Programming,2022-01,2022,Thursday,Data Science & Programming
2022-01-07,9:48 AM,10:45 AM,读论文,57,Thesis,2022-01,2022,Friday,Research
2022-01-07,12:42 PM,1:42 PM,Python 300xp,60,Data Science & Programming,2022-01,2022,Friday,Data Science & Programming
2022-01-07,3:27 PM,5:37 PM,,130,Read Books,2022-01,2022,Friday,Personal Growth
2022-01-07,8:40 PM,9:37 PM,citespace,57,Thesis,2022-01,2022,Friday,Research
2022-01-08,1:43 PM,5:10 PM,,174,Data Science & Programming,2022-01,2022,Saturday,Data Science & Programming
2022-01-09,9:11 AM,10:11 AM,,60,Homework,2022-01,2022,Sunday,School
2022-01-09,5:30 PM,7:11 PM,Python 320XP,101,Data Science & Programming,2022-01,2022,Sunday,Data Science & Programming
2022-01-10,9:38 AM,10:50 AM,,72,School Exam Prepare,2022-01,2022,Monday,School
2022-01-10,3:14 PM,5:16 PM,,121,Thesis,2022-01,2022,Monday,Research
2022-01-10,9:21 PM,11:48 PM,,84,Data Science & Programming,2022-01,2022,Monday,Data Science & Programming
2022-01-11,12:39 PM,2:56 PM,,137,Data Science & Programming,2022-01,2022,Tuesday,Data Science & Programming
2022-01-11,3:32 PM,4:50 PM,园林植物,78,Personal Growth,2022-01,2022,Tuesday,Personal Growth
